,模型名称,字段名称/类型/备注,字段名称/类型/备注,字段名称/类型/备注,字段名称/类型/备注,字段名称/类型/备注,字段名称/类型/备注,字段名称/类型/备注,字段名称/类型/备注,字段名称/类型/备注,字段名称/类型/备注,字段名称/类型/备注,字段名称/类型/备注,字段名称/类型/备注,字段名称/类型/备注,字段名称/类型/备注,字段名称/类型/备注,字段名称/类型/备注,字段名称/类型/备注
1,tea_swiper,swiper_name,swiper_picture,,,,,,,,,,,,,,,,
,,varchar(256),varchar(256) ,,,,,,,,,,,,,,,,
,首页轮播台图片,轮播照片名称,照片地址（4400*2200px）,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2,tea ,tea_name,tea_desc,tea_price,tea_titlepage,tea_picture1 ,tea_picture2 ,tea_picture3 ,tea_tag ,tea_specification ,tea_presentation_img1,tea_presentation_img2,tea_presentation_img3,tea_presentation_img4,tea_presentation_img5,tea_presentation_img6,tea_presentation_img7,tea_presentation_img8,tea_presentation_img9
,,varchar(256) ,varchar(256) ,double,varchar(256) ,varchar(256) ,varchar(256) ,varchar(256) ,varchar(256) ,varchar(256) ,varchar(256) ,varchar(256) ,varchar(256) ,varchar(256) ,varchar(256) ,varchar(256) ,varchar(256) ,varchar(256) ,varchar(256) 
,小程序茶种类照片价格等信息,茶名 ,茶描述 ,茶价格 ,茶封面 ,茶轮播照片1 ,茶轮播照片2 ,茶轮播照片3,茶的标签（热门，包邮，紧张等）,茶的规格 ,茶的商品描述图片1 ,茶的商品描述图片2,茶的商品描述图片3 ,茶的商品描述图片4,茶的商品描述图片5,茶的商品描述图片6,茶的商品描述图片7,茶的商品描述图片8,茶的商品描述图片9
,,,,,,,,,,,,,,,,,,,
3,tea_user,user_nickname,user_identify,,,,,,,,,,,,,,,,
,,varchar(256),varchar(256) ,,,,,,,,,,,,,,,,
,注册小程序的用户,用户名,用户的唯一标识 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4,tea_order,order_buyer ,order_number ,order_time,order_status,order_location,order_price ,order_goods ,order_remark,order_mobile,order_identify,order_goods_num,order_good_id,order_img,,,,,
,,varchar(256) ,int(15) ,varchar(30) ,int,varchar(256) ,double,varchar(256) ,varchar(256) ,varchar(256) ,varchar(256) ,int,int,varchar(150) ,,,,,
,订单表,购买者 ,订单号（流水号，唯一） ,下单时间 ,订单状态（0表示取消订单，1表示进行中，2表示已完成，3待付款） ,订单送货地址 ,订单总价（单位元）,购买内容与规格参数 ,订单备注 ,购买者联系方式 ,用户唯一标识 ,购买数量 ,商品id ,封面照片 ,,,,,
,,,,,,,,,,,,,,,,,,,
5,tea_shopcar,user_identify,tea_id,good_img,good_title,good_price,car_identify_new,,,,,,,,,,,,
,,varchar(250) ,int(15) ,varchar(256) ,varchar(256) ,double,varchar(250) ,,,,,,,,,,,,
,小程序茶的购物车表,用户的唯一标识 ,茶的id ,购物车商品的图片 ,茶的标题 ,总价 ,唯一标识加id,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
6,tea_moment,moment_nickname,moment_content ,moment_createtime ,moment_like,moment_picture1,moment_picture2 ,moment_picture3 ,moment_picture4,moment_picture5 ,moment_picture6 ,moment_picture7 ,moment_picture8,moment_picture9,moment_lat,moment_lng,moment_place,moment_headimg,
,,varchar(50) ,varchar(1024) ,varchar(30) ,int(10) ,varchar(255) ,varchar(255) ,varchar(255) ,varchar(255) ,varchar(255) ,varchar(255) ,varchar(255) ,varchar(255) ,varchar(255) ,double,double,varchar(256) ,varchar(200) ,
,小程序茶的朋友圈,用户名 ,朋友圈内容 ,发布时间，默认为当前时间 ,朋友圈点赞数 ,朋友圈图片1 ,朋友圈图片2 ,朋友圈图片3,朋友圈图片4,朋友圈图片5,朋友圈图片6,朋友圈图片7,朋友圈图片8,朋友圈图片9,纬度,经度,位置描述 ,用户头像 ,
,,,,,,,,,,,,,,,,,,,
